T1,T2,F1_T,F1,MCC_T,MCC
0.78,0.16,28,28.23,27,20.16
0.78,0.17,29,26.86,28,18.71
0.78,0.18,31,25.98,27,17.69
0.78,0.19,31,24.62,29,16.59
0.78,0.20,35,23.98,29,15.35
0.78,0.21,35,23.02,34,14.00
0.78,0.22,35,22.21,34,13.54
0.78,0.23,39,22.24,39,12.88
0.78,0.24,39,21.32,39,11.75
0.78,0.25,41,21.24,41,11.64
0.78,0.26,43,20.85,39,11.49
0.78,0.27,46,20.28,43,10.17
0.78,0.28,47,20.23,47,9.87
0.78,0.29,51,21.04,51,10.98
0.78,0.30,48,19.95,47,9.67
0.78,0.31,48,19.99,45,10.21
0.78,0.32,49,19.84,48,9.93
0.78,0.33,52,19.87,48,10.02
0.78,0.34,54,20.00,49,9.86
0.78,0.35,56,19.43,50,9.18
0.78,0.36,54,19.18,54,8.44
0.78,0.37,58,19.21,50,8.47
0.78,0.38,58,19.18,54,8.69
0.78,0.39,63,19.33,52,8.66
0.78,0.40,62,19.02,52,9.02
0.78,0.41,62,18.74,52,8.13
0.78,0.42,62,18.74,62,7.45
0.78,0.43,62,18.91,62,7.81
0.78,0.44,62,19.14,62,8.35
0.78,0.45,62,18.70,62,7.55
0.78,0.46,62,18.47,62,7.12
0.78,0.47,65,18.83,63,7.79
0.78,0.48,68,19.11,68,8.06
0.78,0.49,68,19.01,68,7.91
0.78,0.50,68,18.86,68,7.68
0.78,0.51,68,18.58,68,7.18
0.78,0.52,70,18.16,70,6.40
0.78,0.53,70,18.47,70,6.95
0.78,0.54,70,18.50,70,7.02
0.78,0.55,70,18.23,66,6.64
0.78,0.56,72,18.45,72,6.92
0.78,0.57,73,18.45,73,6.92
0.78,0.58,73,18.37,73,6.78
0.78,0.59,72,18.73,72,7.47
0.78,0.60,72,18.70,72,7.46
0.78,0.61,72,18.72,72,7.53
0.78,0.62,72,18.50,72,7.15
0.78,0.63,72,18.65,72,7.49
0.78,0.64,72,18.66,72,7.55
0.78,0.65,72,18.67,72,7.62
0.78,0.66,72,18.71,72,7.74
0.78,0.67,74,18.63,74,7.38
0.78,0.68,75,18.76,75,7.58
0.78,0.69,75,18.83,75,7.75
0.78,0.70,75,18.78,75,7.71
0.78,0.71,75,18.71,75,7.58
0.78,0.72,75,18.74,75,7.67
0.78,0.73,75,18.69,75,7.61
0.78,0.74,75,18.83,75,7.93
0.78,0.75,75,18.98,75,8.33
0.78,0.76,79,18.77,73,7.71
0.78,0.77,75,18.66,75,7.72
0.78,0.78,75,18.62,75,7.66
0.78,0.79,79,18.79,79,7.59
0.78,0.80,79,18.93,79,7.90
0.78,0.81,79,18.61,79,7.30
0.78,0.82,79,18.62,79,7.32
0.78,0.83,79,18.60,79,7.31
0.78,0.84,79,18.60,79,7.34
0.78,0.85,79,18.63,79,7.41
0.78,0.86,79,18.42,79,7.00
0.78,0.87,79,18.47,79,7.11
0.78,0.88,76,18.24,76,7.02
0.78,0.89,78,18.34,78,6.98
0.78,0.90,78,18.31,78,6.93
0.78,0.91,77,18.13,77,6.68
0.78,0.92,77,18.26,77,7.02
0.78,0.93,77,18.17,77,6.81
0.78,0.94,77,18.09,77,6.65
0.78,0.95,78,17.96,77,6.31
0.78,0.96,78,17.85,78,5.95
0.78,0.97,78,18.12,78,6.63
0.78,0.98,78,18.24,78,6.96
0.78,0.99,79,18.32,79,7.06
0.79,0.00,0,0.00,0,0.00
0.79,0.01,0,19.49,4,13.08
0.79,0.02,0,23.35,2,15.57
0.79,0.03,2,26.78,0,18.49
0.79,0.04,2,28.60,5,22.58
0.79,0.05,5,34.06,5,27.26
0.79,0.06,6,34.16,6,27.02
0.79,0.07,7,35.43,7,28.70
0.79,0.08,12,36.33,13,31.59
0.79,0.09,13,35.12,16,28.76
0.79,0.10,16,34.62,18,28.67
0.79,0.11,18,34.98,18,28.09
0.79,0.12,19,32.90,18,25.72
0.79,0.13,23,31.66,24,24.35
0.79,0.14,26,30.57,26,23.26
0.79,0.15,24,29.90,24,22.50
0.79,0.16,28,28.67,28,20.69
0.79,0.17,31,27.20,31,18.84
0.79,0.18,34,25.95,34,17.36
0.79,0.19,35,24.57,27,16.19
0.79,0.20,36,24.29,36,15.28
0.79,0.21,39,22.95,35,13.70
0.79,0.22,35,22.31,34,13.51
0.79,0.23,39,21.98,39,12.53
0.79,0.24,39,21.31,39,11.79
0.79,0.25,42,21.43,41,11.93
0.79,0.26,41,21.03,41,11.75
0.79,0.27,46,20.44,39,10.41
0.79,0.28,47,20.47,43,10.33
0.79,0.29,50,21.11,50,11.13
0.79,0.30,50,20.37,49,10.17
0.79,0.31,49,20.22,45,10.37
0.79,0.32,54,20.29,54,9.95
0.79,0.33,53,20.43,53,10.47
0.79,0.34,54,20.40,54,10.44
0.79,0.35,56,19.57,50,8.96
0.79,0.36,54,19.50,54,9.13
0.79,0.37,58,19.20,50,8.66
0.79,0.38,58,19.39,54,9.03
0.79,0.39,63,19.13,52,8.85
