T1,T2,T3,FAR,FRR,EER
1.600,0.030,47,0.00,100.00,50.00
1.600,0.040,66,0.00,100.00,50.00
1.600,0.050,93,0.00,100.00,50.00
1.600,0.060,138,0.00,100.00,50.00
1.600,0.070,173,0.00,100.00,50.00
1.600,0.080,209,0.00,100.00,50.00
1.600,0.090,257,0.00,100.00,50.00
1.600,0.100,307,0.00,100.00,50.00
1.600,0.110,0,100.00,0.00,50.00
1.600,0.120,38,98.00,0.89,49.44
1.700,0.010,20,0.00,100.00,50.00
1.700,0.020,14,2.67,97.11,49.89
1.700,0.030,47,0.00,100.00,50.00
1.700,0.040,67,0.00,100.00,50.00
1.700,0.050,94,0.00,100.00,50.00
1.700,0.060,139,0.00,100.00,50.00
1.700,0.070,180,0.00,100.00,50.00
1.700,0.080,216,0.00,100.00,50.00
1.700,0.090,261,0.00,100.00,50.00
1.700,0.100,323,0.00,100.00,50.00
1.700,0.110,0,100.00,0.00,50.00
1.700,0.120,39,97.78,1.56,49.67
1.800,0.010,20,0.00,100.00,50.00
1.800,0.020,14,2.89,96.89,49.89
1.800,0.030,48,0.00,100.00,50.00
1.800,0.040,68,0.00,100.00,50.00
1.800,0.050,95,0.00,100.00,50.00
1.800,0.060,141,0.00,100.00,50.00
1.800,0.070,183,0.00,100.00,50.00
1.800,0.080,219,0.00,100.00,50.00
1.800,0.090,273,0.00,100.00,50.00
1.800,0.100,329,0.00,100.00,50.00
1.800,0.110,0,100.00,0.00,50.00
1.800,0.120,40,97.78,1.56,49.67
1.900,0.010,20,0.00,100.00,50.00
1.900,0.020,15,2.44,97.56,50.00
1.900,0.030,48,0.00,100.00,50.00
1.900,0.040,68,0.00,100.00,50.00
1.900,0.050,96,0.00,100.00,50.00
1.900,0.060,143,0.00,100.00,50.00
1.900,0.070,184,0.00,100.00,50.00
1.900,0.080,221,0.00,100.00,50.00
1.900,0.090,289,0.00,100.00,50.00
1.900,0.100,348,0.00,100.00,50.00
1.900,0.110,0,100.00,0.00,50.00
1.900,0.120,36,98.67,0.89,49.78
