T1,T2,T3,FAR,FRR,EER
1.500,0.100,124,11.69,39.33,25.51
1.500,0.110,139,14.60,35.33,24.97
1.500,0.120,164,11.76,38.22,24.99
1.600,0.010,8,1.13,56.89,29.01
1.600,0.020,9,7.24,45.11,26.18
1.600,0.030,14,11.91,37.11,24.51
1.600,0.040,24,11.36,38.00,24.68
1.600,0.050,34,15.80,34.44,25.12
1.600,0.060,48,16.62,33.78,25.20
1.600,0.070,66,14.89,36.67,25.78
1.600,0.080,80,18.84,32.44,25.64
1.600,0.090,107,12.69,36.67,24.68
1.600,0.100,132,9.47,41.78,25.62
1.600,0.110,144,14.60,35.11,24.86
1.600,0.120,165,14.47,36.44,25.46
1.700,0.010,8,1.22,56.89,29.06
1.700,0.020,9,7.62,44.44,26.03
1.700,0.030,14,13.00,36.89,24.94
1.700,0.040,24,12.58,37.78,25.18
1.700,0.050,41,8.64,42.00,25.32
1.700,0.060,49,17.78,33.33,25.56
1.700,0.070,67,16.31,34.89,25.60
1.700,0.080,84,17.64,33.11,25.38
1.700,0.090,107,15.33,34.89,25.11
1.700,0.100,132,11.60,39.56,25.58
1.700,0.110,152,12.27,37.56,24.91
1.700,0.120,174,11.91,39.33,25.62
1.800,0.010,8,1.27,56.89,29.08
1.800,0.020,9,8.13,44.44,26.29
1.800,0.030,16,9.51,40.67,25.09
1.800,0.040,27,9.24,41.33,25.29
1.800,0.050,40,11.36,39.56,25.46
1.800,0.060,59,9.38,42.44,25.91
1.800,0.070,72,13.82,38.22,26.02
1.800,0.080,87,17.89,32.44,25.17
1.800,0.090,107,17.93,32.22,25.08
1.800,0.100,138,10.60,41.33,25.97
1.800,0.110,157,12.20,38.22,25.21
1.800,0.120,191,6.29,46.22,26.26
1.900,0.010,8,1.29,56.89,29.09
1.900,0.020,10,6.40,46.22,26.31
1.900,0.030,16,10.31,40.44,25.38
1.900,0.040,27,10.60,40.00,25.30
1.900,0.050,40,12.76,38.00,25.38
1.900,0.060,60,9.78,42.22,26.00
1.900,0.070,84,7.20,45.56,26.38
1.900,0.080,100,10.51,40.67,25.59
1.900,0.090,110,18.13,32.89,25.51
1.900,0.100,128,20.51,30.89,25.70
1.900,0.110,160,12.78,37.56,25.17
1.900,0.120,192,7.87,44.89,26.38
